prng,prow,expt,identity1.x,checks,Test,Location,Year,Loc_Year_test,MM_CA,MM_CEC,MM_K,MM_MG,MM_OM,MM_P1,MM_PH,MM_CLAY,MM_SAND,MM_SILT,Plot,identity1.y,Yield,X,Population,Cl,Clre,Datt1,Datt4,Datt6,DDI,DPI,GNDVI,MCARI,MCARI3,mSR,mSR2,MTCI,MTVI1,ND1,ND2,NDchl,NDRE,NDVI1,NDVI2,NDVI3,NPCL,NPQI,OSAVI,PBI,PPR,PRI,PSNDb1,PSNDc1,PSNDc2,PSRI,PSSRc1,PSSRc2,PVR,PWI,RDVI,RVSI,SAVI,SIPI,SR1,SR2,SR3,SR4,DSWI-4,SRPI,TCARI,TCI,TVI,WBI,Latitude,Longitude
8,35,20-A-301,A17437-48,0,A,Burkey,2020,2020_A_Burkey,1929.889,16,157.333,257.333,2.422,27.667,5.633,26.178,37.633,38.433,57,A17437-48,84.93,57,A17437,0.967656088,0.115856277,0.814764825,2.201796885,3.442707625,0.038050396,4.435543772,0.132966549,0.027329964,0.033201083,3.131075404,0.094588765,1.538305737,0.203021583,0.031523195,0.043219376,0.11588888,0.086583744,0.102854879,0.132966549,0.054756213,0.076528807,0.014959381,0.156898704,1.494228893,0.088832527,0.042627284,0.144396963,0.220427023,0.244213403,0.117515285,1.56550709,1.097922675,-0.108360883,0.953372704,0.156906204,0.015722405,0.156898704,0.212072185,0.85782302,0.644169403,0.959413531,0.765277184,0.940642468,0.85782302,0.073170535,0.036933139,6.01783306,0.968491898,42.01100141,-93.77919415
72,23,20-A-210,A17433-32,0,A,Burkey,2020,2020_A_Burkey,3026.222,21.778,172.111,429.556,3.744,19.111,6.011,27.122,32.567,39.033,57,A17433-32,67.16,57,A17433,0.990444148,0.112630706,0.813801496,1.962618385,3.159814325,0.035812029,3.973470247,0.12794908,0.031523146,0.03604726,4.3627345,0.094287243,1.41269176,0.230213012,0.025944585,0.03224388,0.158044429,0.073296794,0.102230909,0.12794908,0.053313012,0.030746821,0.028868524,0.157999483,1.491076365,0.054434543,0.035454526,0.143156102,0.188953024,0.20809645,0.070536288,1.465948408,1.098816322,-0.056611701,1.025972236,0.16418966,0.024815921,0.157999483,0.186867178,0.940340693,0.688604754,0.974956836,0.773129688,0.950909976,0.940340693,0.084641603,0.042871047,6.8251364,1.075150248,42.01509727,-93.7881032
17,9,21-B-204,A17107-36,0,B,Burkey,2021,2021_B_Burkey,3220.83,22.41,181.41,416.99,4.14,25.66,5.74,27.3,33.35,39.35,57,A17107-36,72.18,57,A17107,0.992291466,0.440604427,0.789984737,2.690087596,6.221254035,0.0901431,6.077837679,0.327128502,0.056203969,0.157999033,4.770543923,0.326515636,2.216721859,0.462497832,0.046027739,0.038362424,0.245234684,0.166980407,0.289910925,0.327128502,0.180530864,0.119365939,0.006229956,0.353106702,2.231698598,0.115552556,0.040496615,0.333227838,0.445798565,0.46174097,0.125133783,2.608796138,1.135030257,-0.23163342,0.953371362,0.343328846,0.0055759,0.353106702,0.426964238,0.786725798,0.396213308,0.955250612,0.507013072,0.929847807,0.786725798,0.131733566,0.068859106,16.032552,0.929808813,-93.78731254,42.01152058
2,49,21-B-306,A17112-223,0,B,Burkey,2021,2021_B_Burkey,3318.24,25.69,195,499.29,4.82,28.03,5.8,28.51,30.23,41.26,57,A17112-223,65.38,57,A17112,1.024708481,0.470085701,0.78387293,2.169008428,5.062184708,0.1123538,5.160601813,0.328981401,0.062941408,0.212915915,5.382688861,0.342382094,2.457741998,0.5974395,0.039267147,0.036148515,0.261657619,0.176270719,0.298842324,0.328981401,0.190311494,0.116162328,0.015505317,0.373745758,2.209869435,0.124296324,0.036219941,0.345610599,0.444841663,0.463064665,0.101387625,2.602575818,1.153653997,-0.159416415,0.995221551,0.393484937,0.0033521,0.373745758,0.43593133,0.791854061,0.392002809,0.977994212,0.504911957,0.955425567,0.791854061,0.150795624,0.078701393,20.380754,0.964004858,-93.78866263,42.01229626
54,45,20-A-308,A17435-110,0,A,Burkey,2020,2020_A_Burkey,3639.556,25.222,197.333,528,4.167,24.889,6.156,27.789,32.022,39.2,57,A17435-110,76.72,57,A17435,0.998780905,0.169829238,0.79373254,2.788426909,4.559847393,0.04026389,5.893490158,0.151297829,0.026659852,0.044585528,6.164782354,0.136231263,1.750301933,0.211126069,0.023281623,0.015588911,0.163407008,0.098874258,0.139822599,0.151297829,0.078268481,0.005828886,0.019833449,0.181925304,1.516271934,0.058504848,0.032512695,0.178009317,0.223283845,0.23277084,0.072019441,1.574943225,1.094527254,-0.19155603,1.005143822,0.166606833,0.018780815,0.181925304,0.21099055,0.988409786,0.653915481,0.988969365,0.737169956,0.974319321,0.988409786,0.071155459,0.036456073,6.71402252,0.987800519,42.04702589,-93.73981688
45,36,21-A-212Y,A18119-41,0,A,Marsden_East,2021,2021_A_Marsden_East,3645.73,29.22,211.61,652.87,5.16,25.78,5.97,30.5,26.84,42.12,57,A18119-41,78.6,57,A18119,1.00038123,1.580629699,0.744692276,1.787639076,13.40376863,0.2769411,16.27324114,0.554025745,0.145112975,0.742321432,-19.26504961,1.084909127,2.906897751,1.193913216,0.068574294,-0.28474662,0.416060704,0.314403745,0.720296307,0.554025745,0.441439029,-0.198171671,0.060260237,0.751599162,3.902276032,0.2358141,0.084837561,0.73233383,0.715175448,0.709449392,-0.024867578,6.021866566,1.107887463,-0.137784213,0.857396029,0.73327382,-0.01728225,0.751599162,0.715840215,1.4942995,0.191986482,1.970443319,0.286979966,1.935525175,1.4942995,0.269682132,0.178806834,44.51406,0.84053363,-93.78886078,42.01285645
18,65,20-B-307,A16355-138,0,B,CAD,2020,2020_B_CAD,4007.889,27.778,204.556,428.111,5.1,20.111,6.444,27.2,32.322,41.567,57,A16355-138,58.79,57,A16355,1.108135208,0.12095201,0.821864058,0.835780182,1.404763364,-0.103202,1.917842979,0.082493021,0.157535374,0.102879135,-13.76596141,0.074507216,1.240755437,0.78063732,0.004746743,-0.021086843,0.176104321,0.091106553,0.082175949,0.082493021,0.057027226,-0.029738207,0.03330256,0.208484588,1.511954815,0.070369735,0.021182724,0.161598857,0.164647649,0.205970579,-0.045678135,1.394199282,1.177130799,0.564544382,0.906230393,0.301191563,0.054672,0.208484588,0.178887493,1.061299348,0.728020696,1.06303928,0.847586969,1.063842288,1.061299348,0.400793151,0.211681264,17.7624,0.945520647,42.04609209,-93.7390629
35,55,20-B-308,A16360-113,0,B,CAD,2020,2020_B_CAD,4242.444,25.667,204.333,430.333,5.467,24.556,6.956,29.667,23.122,41.1,57,A16360-113,54.86,57,A16360,0.978201906,0.070255419,0.820538912,1.168009887,1.742526098,0.0928863,2.267184677,0.113240933,0.042624357,0.025436488,3.146051742,0.058659357,1.222499668,0.298334868,0.019651574,0.046163529,0.124686962,0.103517706,0.081513012,0.113240933,0.033935628,0.040143362,0.037712024,0.142599907,1.454167651,0.069230343,0.034030008,0.127166367,0.176227601,0.206545571,0.091222691,1.427855076,1.093687844,0.260571041,0.91301096,0.183179448,0.07555005,0.142599907,0.171655989,0.922811866,0.681725458,0.950061922,0.79655629,0.918953619,0.922811866,0.114708077,0.057357927,7.798214,0.959248615,42.0460921,-93.739633
71,116,21-A-315,A18118-181,0,A,Marsden_East,2021,2021_A_Marsden_East,5414.28,31.65,217.52,475.38,6.71,36.22,7.57,28.54,23.12,46.87,57,A18118-181,63.1,57,A18118,0.985756594,0.786099338,0.72520643,1.697932398,5.39636807,0.197969,6.02967082,0.399900698,0.115135202,0.449307192,15.71862729,0.571690056,2.490105278,0.989363508,0.050403518,-0.083517309,0.247788333,0.216798751,0.468872975,0.399900698,0.282150506,0.023452657,-0.00773878,0.515459089,2.5467189,0.194407459,0.051824531,0.485468604,0.525986206,0.545423917,0.031065226,3.219286495,1.101447235,-0.084509985,0.873188872,0.553204478,0.002263,0.515459089,0.527708636,0.954169532,0.299820619,1.244538791,0.428672764,1.212877698,0.954169532,0.260886177,0.147813579,37.110596,0.898843146,42.01045269,-93.77774289
9,35,20-A-301,A17101-155,0,A,Burkey,2020,2020_A_Burkey,1848.222,16,155.222,261,2.267,25.222,5.6,25.667,37.911,38.211,58,A17101-155,79.49,58,A17101,0.99729509,0.148268664,0.820365648,2.050381841,3.565251206,0.032279277,4.069812423,0.168332493,0.041564514,0.048373939,3.345140448,0.113852795,1.512749795,0.286247859,0.0279812,0.05012493,0.180981865,0.097376848,0.118748228,0.168332493,0.069017748,0.06698971,0.020856814,0.201923113,1.619696327,0.092002594,0.037620869,0.175440401,0.266509578,0.2959297,0.121387914,1.726688638,1.117633978,-0.097212813,1.036543903,0.211003722,0.017039952,0.201923113,0.260435574,0.874432322,0.581900452,0.938400707,0.71184146,0.917113213,0.874432322,0.106466552,0.053897855,8.07307306,1.031329134,42.01453576,-93.78692485
